Flight_ID,Airline,Source,Destination,Departure_Date,Departure_Time,Arrival_Time,Duration,Total_Stops,Distance_km,Travel_Class,Days_Before_Departure,Season,Weekday,Aircraft_Type,Booking_Channel,Passenger_Count,Price
FL133547,Indigo,Hyderabad,Ahmedabad,2025-08-02,8:10 PM,21:50,1.67,0,910.5,Economy,43,Monsoon,Saturday,Boeing 737,Mobile App,5,5181.56
FL133458,AirAsia India,Pune,Mumbai,2025-06-05,12:10,12:55,0h 45m,non-stop,150,Economy,45,Monsoon,Thursday,ATR 72,Website,3,2000
FL173851,Qatar Airways,Sydney,PNQ,2025-02-11,5:05 PM,7:53 AM,14.80,1 stop,10168.1,Economy,3,,Tuesday,Boeing 777,Mobile App,3,174762.69
FL101953,AirAsia India,Bangalore Airport,BOM,2025-04-19,07:05,10:16 AM,3h 11m,1,868.3,Economy,33,Summer,Saturday,Airbus A320,Mobile App,1,2846.09
FL162887,British Airways,Sydney,Goa,2026-07-05,10:40 PM,12:36,13.93,non-stop,10478.0,Economy,6,Monsoon,Sunday,Airbus A320,Website,2,145331.64
FL116409,Qatar Airways,New York,Doha,2025-06-25,4:15 AM,21:02,16h 47m,1,,Economy,0,Monsoon,Wednesday,Boeing 787 Dreamliner,Website,2,190059.64
FL159106,GoFirst,Pune,Bangalore,2025-02-16,1:35 AM,3:02 AM,1h 28m,0,748.9,Economy,3,Winter,Sunday,Airbus A321,Website,2,6458.88
FL158312,Singapore Airlines,HYD,Dubai,2026-10-08,9:55 AM,3:21 PM,5h 27m,,2574.9,Economy,5,,Thursday,Boeing 787 Dreamliner,Website,1,28599.41
FL158966,Qatar Airways,New York,Jaipur Airport,2025-10-13,5:45 AM,22:49,17h 04m,1,12133.2,Economy,9,Autumn,Monday,Airbus A320,Mobile App,1,147645.15
FL108819,Singapore Airlines,Pune,DXB,2026-03-30,8:15 AM,11:35 AM,3h 20m,0,2215.6,Economy,110,Summer,Monday,Boeing 787 Dreamliner,Travel Agent,1,
FL101419,AIR INDIA,DXB,Ahmedabad,2025-01-12,13:30,16:26,177 min,0,1904.9,Economy,27,Winter,Sunday,Airbus A320,Travel Agent,1,24660.74
FL157714,Emirates,,BKK,2025-04-29,23:30,04:04,,,3179.9,Economy,120,Summer,Tuesday,Boeing 777,Website,2,36225.75
